id,currency_id/id,code,name,user_type_id/id
scenario.account_1462,,1462,Aktivhypotheken gegenüber Aktionär PGL,account.data_account_type_current_assets
scenario.account_1463,,1463,Aktivhypotheken gegenüber Aktionär RGL,account.data_account_type_current_assets
scenario.account_1464,,1464,Aktivhypotheken gegenüber Aktionär MGL,account.data_account_type_current_assets
scenario.account_1469,,1469,WB langfr. Forderungen gg. Aktionären,account.data_account_type_current_assets
scenario.account_1521,,1521,Software,account.data_account_type_current_assets
scenario.account_1522,,1522,Netzwerk,account.data_account_type_current_assets
scenario.account_1524,,1524,Sicherheitseinrichtungen,account.data_account_type_current_assets
scenario.account_1551,,1551,Hochlagerregal,account.data_account_type_current_assets
scenario.account_1590,,1590,Wäsche und Berufskleidung,account.data_account_type_current_assets
scenario.account_1591,,1591,Formen und Modelle,account.data_account_type_current_assets
scenario.account_1601,,1601,Mieterausbau Geschäftsliegenschaften,account.data_account_type_current_assets
scenario.account_1630,,1630,Lagergebäude,account.data_account_type_current_assets
scenario.account_1633,,1633,Mieterausbau Lagerräume,account.data_account_type_current_assets
scenario.account_1639,,1639,Wertberichtigung Lagergebäude,account.data_account_type_current_assets
scenario.account_1750,,1750,Forschungsaufwand,account.data_account_type_current_assets
scenario.account_1751,,1751,Entwicklungsaufwand,account.data_account_type_current_assets
scenario.account_1759,,1759,WB Forschungs- u. Entwicklungsaufwand,account.data_account_type_current_assets
scenario.account_2130,,2130,Kurzfr. Finanzverb. gg. Angestellten,account.data_account_type_current_liabilities
scenario.account_2205,,2205,Vorgezogene Recyclinggebühr,account.data_account_type_current_liabilities
scenario.account_2271,,2271,Kurzfr. Finanzverb. gg. AHV/ALV,account.data_account_type_current_liabilities
scenario.account_2272,,2272,Kurzfr. Finanzverb. gg. Familenausgleichskasse,account.data_account_type_current_liabilities
scenario.account_2273,,2273,Kurzfr. Finanzverb. gg. Unfallversicherung,account.data_account_type_current_liabilities
scenario.account_2274,,2274,Kurzfr. Finanzverb. gg. Krankenversicherung,account.data_account_type_current_liabilities
scenario.account_2290,,2290,Gratifikationen / Erfolgsbeteiligungen,account.data_account_type_current_liabilities
scenario.account_2630,,2630,Rückstellungen für Garantiearbeiten,account.data_account_type_current_liabilities
scenario.account_2999,,2999,Import WinOffice Durchlaufskonti,account.data_account_type_equity
scenario.account_3090,,3090,Skonti IL,account.data_account_type_revenue
scenario.account_3091,,3091,Rabatte und Preisnachlässe IL,account.data_account_type_revenue
scenario.account_3092,,3092,Rückvergütungen IL,account.data_account_type_revenue
scenario.account_3095,,3095,"Verluste Forderungen, Veränderung Wertberichtigungen IL",account.data_account_type_revenue
scenario.account_3096,,3096,Kursdifferenzen IL,account.data_account_type_revenue
scenario.account_3097,,3097,Frachten u. Porti IL,account.data_account_type_revenue
scenario.account_3290,,3290,Skonti BEG,account.data_account_type_revenue
scenario.account_3291,,3291,Rabatte und Preisnachlässe BEG,account.data_account_type_revenue
scenario.account_3292,,3292,Rückvergütungen BEG,account.data_account_type_revenue
scenario.account_3295,,3295,"Verluste Forderungen, Veränderung Wertberichtigungen BEG",account.data_account_type_revenue
scenario.account_3296,,3296,Kursdifferenzen BEG,account.data_account_type_revenue
scenario.account_3297,,3297,Frachten u. Porti BEG,account.data_account_type_revenue
scenario.account_3490,,3490,Skonti DL,account.data_account_type_revenue
scenario.account_3491,,3491,Rabatte und Preisnachlässe DL,account.data_account_type_revenue
scenario.account_3492,,3492,Rückvergütungen DL,account.data_account_type_revenue
scenario.account_3495,,3495,"Verluste Forderungen, Veränderung Wertberichtigungen DL",account.data_account_type_revenue
scenario.account_3496,,3496,Kursdifferenzen DL,account.data_account_type_revenue
scenario.account_3807,,3807,Frachten u. Porti,account.data_account_type_revenue
scenario.account_3808,,3808,Garantieleistungen,account.data_account_type_revenue
scenario.account_4015,,4015,Einkauf von Verpackungsmaterial IL,account.data_account_type_expenses
scenario.account_4016,,4016,"Einkauf von Beschriftungsmaterial, Ettiketen IL",account.data_account_type_expenses
scenario.account_4017,,4017,Einkaufspesen IL,account.data_account_type_expenses
scenario.account_4073,,4073,Eingangsfrachten Flugzeug IL,account.data_account_type_expenses
scenario.account_4074,,4074,Eingangsfrachten Schiff IL,account.data_account_type_expenses
scenario.account_4090,,4090,Skonti Aufwand Sortiment IL,account.data_account_type_expenses
scenario.account_4091,,4091,Rabatte u. Preisnachl. IL,account.data_account_type_expenses
scenario.account_4092,,4092,Umsatzrückvergütungen IL,account.data_account_type_expenses
scenario.account_4096,,4096,Kursdifferenzen IL,account.data_account_type_expenses
scenario.account_4208,,4208,Einkauf von Hilfsmaterial BEG,account.data_account_type_expenses
scenario.account_4215,,4215,Einkauf von Verpackungsmaterial BEG,account.data_account_type_expenses
scenario.account_4216,,4216,"Einkauf von Beschriftungsmaterial, Ettiketen BEG",account.data_account_type_expenses
scenario.account_4217,,4217,Einkaufspesen BEG,account.data_account_type_expenses
scenario.account_4270,,4270,Eingangsfrachten BEG,account.data_account_type_expenses
scenario.account_4271,,4271,Einfuhrzölle BEG,account.data_account_type_expenses
scenario.account_4272,,4272,Eingangsspedition BEG,account.data_account_type_expenses
scenario.account_4273,,4273,Eingangsfrachten Flugzeug BEG,account.data_account_type_expenses
scenario.account_4274,,4274,Eingangsfrachten Schiff BEG,account.data_account_type_expenses
scenario.account_4280,,4280,Bestandsveränderung BEG,account.data_account_type_expenses
scenario.account_4286,,4286,Materialverlust BEG,account.data_account_type_expenses
scenario.account_4290,,4290,Skonti Aufwand Sortiment BEG,account.data_account_type_expenses
scenario.account_4291,,4291,Rabatte u. Preisnachl. BEG,account.data_account_type_expenses
scenario.account_4292,,4292,Umsatzrückvergütungen BEG,account.data_account_type_expenses
scenario.account_4296,,4296,Kursdifferenzen BEG,account.data_account_type_expenses
scenario.account_4470,,4470,Direkte Einkaufsspesen für bez. Dienstleistungen,account.data_account_type_expenses
scenario.account_4490,,4490,Skonti für bez. Dienstleistungen,account.data_account_type_expenses
scenario.account_4491,,4491,Rabatte u. Preisnachlässe für bez. Dienstleistungen,account.data_account_type_expenses
scenario.account_4600,,4600,Übriger Materialaufwand Produktion,account.data_account_type_expenses
scenario.account_4620,,4620,Übriger Handelswarenaufwand,account.data_account_type_expenses
scenario.account_4640,,4640,Übriger Aufwand für Dienstleistungen,account.data_account_type_expenses
scenario.account_4650,,4650,Übriger Aufwand für Verpackungen,account.data_account_type_expenses
scenario.account_4660,,4660,Veränderung der Garantierückstellungen,account.data_account_type_expenses
scenario.account_4700,,4700,Eingangsfrachten Divers,account.data_account_type_expenses
scenario.account_4701,,4701,Einfuhrzölle Divers,account.data_account_type_expenses
scenario.account_4702,,4702,Eingangsspedition Divers,account.data_account_type_expenses
scenario.account_5001,,5001,Zulagen,account.data_account_type_expenses
scenario.account_5002,,5002,Erfolgsbeteiligungen,account.data_account_type_expenses
scenario.account_5003,,5003,Provisionen,account.data_account_type_expenses
scenario.account_5005,,5005,Leistungen von Sozialversicherungen,account.data_account_type_expenses
scenario.account_5009,,5009,Leistungen Dritter (temporär),account.data_account_type_expenses
scenario.account_5070,,5070,"AHV,IV,EO,ALV-Beiträge",account.data_account_type_expenses
scenario.account_5071,,5071,Familienausgleichskasse,account.data_account_type_expenses
scenario.account_5072,,5072,Berufliche Vorsorge,account.data_account_type_expenses
scenario.account_5073,,5073,Unfallversicherung,account.data_account_type_expenses
scenario.account_5074,,5074,Krankentaggeldversicherung,account.data_account_type_expenses
scenario.account_5079,,5079,Quellensteuern,account.data_account_type_expenses
scenario.account_5081,,5081,Aus- und Weiterbildung / Seminare,account.data_account_type_expenses
scenario.account_5082,,5082,Reisespesen,account.data_account_type_expenses
scenario.account_5083,,5083,Verpflegungspesen,account.data_account_type_expenses
scenario.account_5084,,5084,Übernachtungspesen,account.data_account_type_expenses
scenario.account_5085,,5085,Spesenentschädigung pauschal,account.data_account_type_expenses
scenario.account_5086,,5086,Beteiligung Mietkosten HomeOffice MA,account.data_account_type_expenses
scenario.account_5087,,5087,Beteiligung Telgebühren MA,account.data_account_type_expenses
scenario.account_5088,,5088,Sonstiger Personalaufwand,account.data_account_type_expenses
scenario.account_5089,,5089,Fahrzeugnutzung Privatanteil,account.data_account_type_expenses
scenario.account_5840,,5840,Personalkantine Verpflegung,account.data_account_type_expenses
scenario.account_5880,,5880,Events für Mitarbeiter,account.data_account_type_expenses
scenario.account_6001,,6001,Kleininvestitionen Büro- und Verwaltung,account.data_account_type_expenses
scenario.account_6002,,6002,Raumaufwand Lager,account.data_account_type_expenses
scenario.account_6003,,6003,Kleininvestitionen Lager,account.data_account_type_expenses
scenario.account_6004,,6004,Raumaufwand Technik/Produktion,account.data_account_type_expenses
scenario.account_6005,,6005,Kleininvestitionen Technik/Produktion,account.data_account_type_expenses
scenario.account_6006,,6006,Raumaufwand Garage-/Parkplätze,account.data_account_type_expenses
scenario.account_6007,,6007,Kleininvestitionen Garage-/Parkplätze,account.data_account_type_expenses
scenario.account_6009,,6009,Kleininvestitionen Divers,account.data_account_type_expenses
scenario.account_6040,,6040,Reinigung/Reinigungsmaterial,account.data_account_type_expenses
scenario.account_6101,,6101,URE Lager,account.data_account_type_expenses
scenario.account_6102,,6102,URE Büro,account.data_account_type_expenses
scenario.account_6103,,6103,URE Technik/Produktion,account.data_account_type_expenses
scenario.account_6104,,6104,URE Produktmanagement,account.data_account_type_expenses
scenario.account_6109,,6109,URE divers,account.data_account_type_expenses
scenario.account_6210,,6210,Treibstoff,account.data_account_type_expenses
scenario.account_6220,,6220,Versicherungen,account.data_account_type_expenses
scenario.account_6230,,6230,"Verkehrsabgaben, -gebühren, -steuern",account.data_account_type_expenses
scenario.account_6270,,6270,Privatanteil Fahrzeuge,account.data_account_type_expenses
scenario.account_6280,,6280,"Ausgangs-Frachtkosten, Spedition, Cargo Domizil",account.data_account_type_expenses
scenario.account_6281,,6281,"Eingangs-Frachtkosten, Spedition, Cargo Domizil",account.data_account_type_expenses
scenario.account_6301,,6301,Glasbruchversicherung,account.data_account_type_expenses
scenario.account_6302,,6302,Einbruchdiebstahlversicherung,account.data_account_type_expenses
scenario.account_6303,,6303,Transportversicherung,account.data_account_type_expenses
scenario.account_6310,,6310,Betriebshaftpflichtversicherung,account.data_account_type_expenses
scenario.account_6311,,6311,Garantieversicherung,account.data_account_type_expenses
scenario.account_6312,,6312,Rechtschutzversicherung,account.data_account_type_expenses
scenario.account_6320,,6320,Betriebsunterbrechungsversicherung,account.data_account_type_expenses
scenario.account_6360,,6360,Abgaben,account.data_account_type_expenses
scenario.account_6361,,6361,Steuern,account.data_account_type_expenses
scenario.account_6370,,6370,Bewilligungen,account.data_account_type_expenses
scenario.account_6371,,6371,Patente,account.data_account_type_expenses
scenario.account_6421,,6421,Wärmestrom,account.data_account_type_expenses
scenario.account_6422,,6422,Lichtstrom,account.data_account_type_expenses
scenario.account_6430,,6430,Wasser,account.data_account_type_expenses
scenario.account_6460,,6460,Kehrichtabfuhr,account.data_account_type_expenses
scenario.account_6461,,6461,Sondermüllabfuhr,account.data_account_type_expenses
scenario.account_6462,,6462,Abwasser,account.data_account_type_expenses
scenario.account_6501,,6501,Drucksachen,account.data_account_type_expenses
scenario.account_6502,,6502,Ausdrucke / Fotokopien,account.data_account_type_expenses
scenario.account_6503,,6503,Fachliteratur,account.data_account_type_expenses
scenario.account_6510,,6510,Telefon,account.data_account_type_expenses
scenario.account_6512,,6512,Internet,account.data_account_type_expenses
scenario.account_6513,,6513,Porti,account.data_account_type_expenses
scenario.account_6520,,6520,Beiträge,account.data_account_type_expenses
scenario.account_6521,,6521,Spenden und Geschenke,account.data_account_type_expenses
scenario.account_6522,,6522,Trinkgelder,account.data_account_type_expenses
scenario.account_6523,,6523,Übriger Büro- und Verwaltungsaufwand,account.data_account_type_expenses
scenario.account_6530,,6530,Buchführung,account.data_account_type_expenses
scenario.account_6531,,6531,Unternehmensberatung,account.data_account_type_expenses
scenario.account_6532,,6532,Rechtsberatung,account.data_account_type_expenses
scenario.account_6540,,6540,Aufwand Verwaltungsrat,account.data_account_type_expenses
scenario.account_6541,,6541,Aufwand Generalversammlung,account.data_account_type_expenses
scenario.account_6542,,6542,Aufwand Revisionsstelle,account.data_account_type_expenses
scenario.account_6543,,6543,Sitzungsgelder,account.data_account_type_expenses
scenario.account_6560,,6560,Leasing Hardware,account.data_account_type_expenses
scenario.account_6561,,6561,Leasing Software,account.data_account_type_expenses
scenario.account_6562,,6562,Miete Hardware,account.data_account_type_expenses
scenario.account_6563,,6563,Miete Software,account.data_account_type_expenses
scenario.account_6564,,6564,Hosting,account.data_account_type_expenses
scenario.account_6571,,6571,Wartung/Support Hardware,account.data_account_type_expenses
scenario.account_6572,,6572,Wartung/Support Software,account.data_account_type_expenses
scenario.account_6573,,6573,"CD, Tape, Verbrauchsmaterial",account.data_account_type_expenses
scenario.account_6574,,6574,Kleininvestitionen,account.data_account_type_expenses
scenario.account_6575,,6575,Standleitungsgebühren,account.data_account_type_expenses
scenario.account_6580,,6580,Beratung,account.data_account_type_expenses
scenario.account_6581,,6581,Individual-Entwicklung,account.data_account_type_expenses
scenario.account_6582,,6582,Schulungs-/Einführungsaufwand,account.data_account_type_expenses
scenario.account_6601,,6601,Publikationen in Fachzeitschriften,account.data_account_type_expenses
scenario.account_6610,,6610,"Werbedrucksachen, Werbematerial",account.data_account_type_expenses
scenario.account_6611,,6611,"Reklameartikel, Muster",account.data_account_type_expenses
scenario.account_6612,,6612,Versand- und Verpackungsspesen für Werbeversände,account.data_account_type_expenses
scenario.account_6613,,6613,Übersetzungen,account.data_account_type_expenses
scenario.account_6620,,6620,"Fachmessen, Ausstellungen",account.data_account_type_expenses
scenario.account_6621,,6621,Schulungs- und Ausbildungsmaterial,account.data_account_type_expenses
scenario.account_6641,,6641,Kundenbetreuung,account.data_account_type_expenses
scenario.account_6642,,6642,Kundengeschenke,account.data_account_type_expenses
scenario.account_6660,,6660,Werbeeinträge,account.data_account_type_expenses
scenario.account_6661,,6661,Sponsoring,account.data_account_type_expenses
scenario.account_6662,,6662,Datenbank-Mitgliedschaften,account.data_account_type_expenses
scenario.account_6663,,6663,Marketing-Mitgliedschaften,account.data_account_type_expenses
scenario.account_6670,,6670,Kundenanlässe,account.data_account_type_expenses
scenario.account_6671,,6671,Medienkontakte,account.data_account_type_expenses
scenario.account_6672,,6672,Firmenjubiläen,account.data_account_type_expenses
scenario.account_6680,,6680,Werbeberatung,account.data_account_type_expenses
scenario.account_6681,,6681,Marktanalysen,account.data_account_type_expenses
scenario.account_6701,,6701,Betreibungen,account.data_account_type_expenses
scenario.account_6710,,6710,Betriebssicherheit,account.data_account_type_expenses
scenario.account_6711,,6711,Bewachung,account.data_account_type_expenses
scenario.account_6720,,6720,Eigenentwicklungen Sortiment LEUCHTEN,account.data_account_type_expenses
scenario.account_6721,,6721,Eigenentwicklungen Sortiment BEG,account.data_account_type_expenses
scenario.account_6801,,6801,Abschr. auf andere Finanzanlagen,account.data_account_type_expenses
scenario.account_6810,,6810,Abschreibungen Warenvorrat,account.data_account_type_expenses
scenario.account_6811,,6811,Abschreibungen Delkrede,account.data_account_type_expenses
scenario.account_6820,,6820,Abschr. auf Maschinen u. Apparaten (Prod.),account.data_account_type_expenses
scenario.account_6821,,6821,Abschr. auf Mobiliar u. Einrichtungen,account.data_account_type_expenses
scenario.account_6822,,6822,Abschr. auf Büromaschinen u. EDV,account.data_account_type_expenses
scenario.account_6823,,6823,Abschr. auf Fahrzeugen,account.data_account_type_expenses
scenario.account_6830,,6830,Abschr. auf Geschäftsliegenschaften,account.data_account_type_expenses
scenario.account_6831,,6831,Abschr. auf Fabrikgebäude,account.data_account_type_expenses
scenario.account_6840,,6840,"Abschr. auf Patente, Know-how, Rezepten",account.data_account_type_expenses
scenario.account_6841,,6841,"Abschr. auf Marken, Muster, Modelle, Pläne",account.data_account_type_expenses
scenario.account_6847,,6847,Abschr. auf Goodwill,account.data_account_type_expenses
scenario.account_6849,,6849,Abschr. auf sonst. Immat. Vermögenswerte,account.data_account_type_expenses
scenario.account_6850,,6850,Abschr. auf Gründungsaufwand,account.data_account_type_expenses
scenario.account_6851,,6851,Abschr. auf Forschungs- u. Entwicklungsaufwand,account.data_account_type_expenses
scenario.account_6901,,6901,Darlehnszinsaufwand,account.data_account_type_expenses
scenario.account_6902,,6902,Hypothekarzinsaufwand,account.data_account_type_expenses
scenario.account_6903,,6903,Verzugszinsaufwand,account.data_account_type_expenses
scenario.account_6904,,6904,Zinsaufwand für Vorauszahlungen von Kunden,account.data_account_type_expenses
scenario.account_6910,,6910,Zinsaufwand Kontokorrent Tochtergesellschaft A,account.data_account_type_expenses
scenario.account_6911,,6911,Zinsaufwand Darlehen Tochtergesellschaft B,account.data_account_type_expenses
scenario.account_6920,,6920,Zinsaufwand Kontokorrent Aktionär A,account.data_account_type_expenses
scenario.account_6921,,6921,Zinsaufwand Darlehen Aktionär B,account.data_account_type_expenses
scenario.account_6930,,6930,Zinsaufwand Darlehen Personalvorsorgestiftung,account.data_account_type_expenses
scenario.account_6940,,6940,"Bank-, PC-Spesen",account.data_account_type_expenses
scenario.account_6941,,6941,Depotgebühren,account.data_account_type_expenses
scenario.account_6942,,6942,Kursverluste fl. Mittel und Wertschriften,account.data_account_type_expenses
scenario.account_6943,,6943,Kursverluste Finanzanlagen,account.data_account_type_expenses
scenario.account_6944,,6944,Kursverluste Finanzverbindlichkeiten,account.data_account_type_expenses
scenario.account_6960,,6960,Erträge aus Wertpapieren,account.data_account_type_expenses
scenario.account_6970,,6970,Erträge aus Finanzanlagen gegenüber Tochtergesellschaften,account.data_account_type_expenses
scenario.account_6980,,6980,Erträge aus Finanzanlagen gegenüber Aktionären,account.data_account_type_expenses
scenario.account_6990,,6990,Andere Finanzerträge,account.data_account_type_expenses
