id,sale_warn,sale_warn_msg,street,supplier,city,user_id,zip,title,function,country_id/id,company_id/id,parent_id/id,type,email,is_company,website,lang,fax,street2,phone,ref,active,tz,customer,credit_limit,mobile,opt_out,property_payment_term_id/id,property_account_receivable_id,property_account_payable_id,property_stock_supplier/id,category_id/id,name2,eev_member,eev_number,eev_alarm,region_id/id,pobox_nr,pobox_zip,pobox_city,companytype,headquarter_id/id,mailing_email,mailing,department,lastname,firstname,partner_invoicing_id/id,influence
partner_10045,warning,"
Geh\'f6rt der Etavis-Gruppe

Auftragsrabatte: 20 % +
ab Fr. \tab 2'000\tab 1 %
ab Fr. \tab 5'000 \tab 2 %
ab Fr. \tab 10'000 \tab 3 %
ab Fr. \tab 20'000 \tab 4 %
ab Fr. \tab 30'000\tab 5 %
ab Fr. \tab 40'000\tab 6 %
ab Fr. \tab 50'000\tab 7 %\lang1031




",Breitenstrasse 15,false,Altendorf,dla,8852,,,base.ch,base.main_company,,contact,altendorf@etavis.ch,TRUE,,de_DE,+41 55 451 56 55,,+41 55 451 56 56,10045,true,Europe/Zurich,true,3000,,TRUE,__setup__.accountpaymentterm_60dn45d3s,1100,2000,stock.stock_location_suppliers,"__setup__.partner_category_15,__setup__.partner_category_30,__setup__.partner_category_6",,FALSE,0,FALSE,__setup__.region_-2144060006,,,,,,,0,,ETAVIS AG,,,
partner_10049,warning,"
Geh\'f6rt der Etavis-Gruppe

Auftragsrabatte: 20 % +
ab Fr. \tab 2'000\tab 1 %
ab Fr. \tab 5'000 \tab 2 %
ab Fr. \tab 10'000 \tab 3 %
ab Fr. \tab 20'000 \tab 4 %
ab Fr. \tab 30'000\tab 5 %
ab Fr. \tab 40'000\tab 6 %
ab Fr. \tab 50'000\tab 7 %\lang1031




",Fröschenweidstrasse 6,false,Winterthur,mle,8404,,,base.ch,base.main_company,,contact,winterthur@etavis.ch,TRUE,,de_DE,+41 52 235 00 01,,+41 52 235 00 00,10049,true,Europe/Zurich,true,3000,,TRUE,__setup__.accountpaymentterm_60dn45d3s,1100,2000,stock.stock_location_suppliers,"__setup__.partner_category_15,__setup__.partner_category_30,__setup__.partner_category_6",,FALSE,0,FALSE,__setup__.region_-2144059995,3198,8404,,,,1,0,,ETAVIS AG,,,
partner_10051,warning,"
Geh\'f6rt der Etavis-Gruppe

Auftragsrabatte: 20 % +
ab Fr. \tab 2'000\tab 1 %
ab Fr. \tab 5'000 \tab 2 %
ab Fr. \tab 10'000 \tab 3 %
ab Fr. \tab 20'000 \tab 4 %
ab Fr. \tab 30'000\tab 5 %
ab Fr. \tab 40'000\tab 6 %
ab Fr. \tab 50'000\tab 7 %\lang1031




",Frachtstrasse / Fracht Ost 2-737,false,Flughafen ZH-Kloten,mle,8058,,,base.ch,base.main_company,,contact,,TRUE,,de_DE,+41 43 816 57 43,,+41 43 816 57 37,10051,true,Europe/Zurich,true,3000,,TRUE,__setup__.accountpaymentterm_60dn45d3s,1100,2000,stock.stock_location_suppliers,"__setup__.partner_category_15,__setup__.partner_category_30,__setup__.partner_category_6",,FALSE,0,FALSE,__setup__.region_-2144060003,13,8058,,,,,0,,ETAVIS AG,,,
partner_10052,warning,"
Geh\'f6rt der Etavis-Gruppe

Auftragsrabatte: 20 % +
ab Fr. \tab 2'000\tab 1 %
ab Fr. \tab 5'000 \tab 2 %
ab Fr. \tab 10'000 \tab 3 %
ab Fr. \tab 20'000 \tab 4 %
ab Fr. \tab 30'000\tab 5 %
ab Fr. \tab 40'000\tab 6 %
ab Fr. \tab 50'000\tab 7 %\lang1031




",Zürcherstrasse 350,false,Frauenfeld,mka,8500,,,base.ch,base.main_company,,contact,frauenfeld@etavis.ch,TRUE,,de_DE,+41 52 723 22 01,,+41 52 723 22 00,10052,true,Europe/Zurich,true,3000,,TRUE,__setup__.accountpaymentterm_60dn45d3s,1100,2000,stock.stock_location_suppliers,"__setup__.partner_category_15,__setup__.partner_category_30,__setup__.partner_category_6",,FALSE,0,FALSE,__setup__.region_-2142967384,,,,,,1,1,,ETAVIS AG,,,
partner_10054,warning,"
Geh\'f6rt der Etavis-Gruppe

Auftragsrabatte: 20 % +
ab Fr. \tab 2'000\tab 1 %
ab Fr. \tab 5'000 \tab 2 %
ab Fr. \tab 10'000 \tab 3 %
ab Fr. \tab 20'000 \tab 4 %
ab Fr. \tab 30'000\tab 5 %
ab Fr. \tab 40'000\tab 6 %
ab Fr. \tab 50'000\tab 7 %\lang1031




",Poststrasse 11,false,Herisau,mka,9100,,,base.ch,base.main_company,,contact,,TRUE,,de_DE,+41 71 3523263,,+41 71 3511251,10054,true,Europe/Zurich,true,3000,,TRUE,__setup__.accountpaymentterm_60dn45d3s,1100,2000,stock.stock_location_suppliers,"__setup__.partner_category_15,__setup__.partner_category_30,__setup__.partner_category_6",,FALSE,0,FALSE,__setup__.region_-2142967379,,,,,,,0,,ETAVIS Grossenbacher AG,,,
partner_10056,warning,"
Geh\'f6rt der Etavis-Gruppe

Auftragsrabatte: 20 % +
ab Fr. \tab 2'000\tab 1 %
ab Fr. \tab 5'000 \tab 2 %
ab Fr. \tab 10'000 \tab 3 %
ab Fr. \tab 20'000 \tab 4 %
ab Fr. \tab 30'000\tab 5 %
ab Fr. \tab 40'000\tab 6 %
ab Fr. \tab 50'000\tab 7 %\lang1031




",Löwenstrasse 59,false,Rorschach,mka,9400,,,base.ch,base.main_company,,contact,rorschach@etavis.ch,TRUE,,de_DE,+41 71 8441975,,+41 71 8441974,10056,true,Europe/Zurich,true,3000,,TRUE,__setup__.accountpaymentterm_60dn45d3s,1100,2000,stock.stock_location_suppliers,"__setup__.partner_category_15,__setup__.partner_category_30,__setup__.partner_category_6",,FALSE,0,FALSE,__setup__.region_-2142967386,,9401,,,,1,1,,ETAVIS Grossenbacher AG,,,
partner_10058,warning,"
Geh\'f6rt der Etavis-Gruppe

Auftragsrabatte: 20 % +
ab Fr. \tab 2'000\tab 1 %
ab Fr. \tab 5'000 \tab 2 %
ab Fr. \tab 10'000 \tab 3 %
ab Fr. \tab 20'000 \tab 4 %
ab Fr. \tab 30'000\tab 5 %
ab Fr. \tab 40'000\tab 6 %
ab Fr. \tab 50'000\tab 7 %\lang1031\fs16




",Maurerweg 12,false,Biel/Bienne,mle,2503,,,base.ch,base.main_company,,contact,biel@etavis.ch,TRUE,,de_DE,+41 32 366 22 66,,+41 32 366 22 11,10058,true,Europe/Zurich,true,3000,,TRUE,__setup__.accountpaymentterm_60dn45d3s,1100,2000,stock.stock_location_suppliers,"__setup__.partner_category_10,__setup__.partner_category_15,__setup__.partner_category_6",,FALSE,0,FALSE,__setup__.region_-2144060043,,,,,,1,0,,ETAVIS JAG JAKOB AG,,,
partner_10059,warning,"
ACHTUNG: PAKETPOST GEHT AN WIENSTRASSE 1, 4053 BASEL\b0

\lang2055\fs17 Geh\'f6rt der Etavis-Gruppe

Auftragsrabatte: 20 % +
ab Fr. \tab 2'000\tab 1 %
ab Fr. \tab 5'000 \tab 2 %
ab Fr. \tab 10'000 \tab 3 %
ab Fr. \tab 20'000 \tab 4 %
ab Fr. \tab 30'000\tab 5 %
ab Fr. \tab 40'000\tab 6 %
ab Fr. \tab 50'000\tab 7 %\lang1031\fs16

WICHTIG: Immer PSP Nummer verlangen da die Rechnung sonst zur\'fcckkommt!!



",Wienstrasse 2,false,Basel,mle,4053,,,base.ch,base.main_company,,contact,basel@etavis.ch,TRUE,www.kriegel.ch,de_DE,+41 61 316 63 63,,+41 61 316 60 60,10059,true,Europe/Zurich,true,3000,,TRUE,__setup__.accountpaymentterm_60dn45d3s,1100,2000,stock.stock_location_suppliers,"__setup__.partner_category_15,__setup__.partner_category_6",,FALSE,0,FALSE,__setup__.region_-2144060004,3445,4002,,,,,1,,ETAVIS KRIEGEL + SCHAFFNER AG,,,
partner_10061,warning,"
Geh\'f6rt der Etavis-Gruppe

Auftragsrabatte: 20 % +
ab Fr. \tab 2'000\tab 1 %
ab Fr. \tab 5'000 \tab 2 %
ab Fr. \tab 10'000 \tab 3 %
ab Fr. \tab 20'000 \tab 4 %
ab Fr. \tab 30'000\tab 5 %
ab Fr. \tab 40'000\tab 6 %
ab Fr. \tab 50'000\tab 7 %\lang1031\fs16




",Fabrikstrasse 19,false,Buchs SG,mka,9470,,,base.ch,base.main_company,,contact,,TRUE,,de_DE,,,+41 81 7503333,10061,true,Europe/Zurich,true,3000,,TRUE,__setup__.accountpaymentterm_60dn45d3s,1100,2000,stock.stock_location_suppliers,"__setup__.partner_category_15,__setup__.partner_category_30,__setup__.partner_category_6",,FALSE,0,FALSE,__setup__.region_-2142967386,348,9471,Buchs SG 1,,,,1,,ETAVIS Grossenbacher AG,,,
partner_10063,no-message,,Badenerstrasse 329,false,Zürich,dla,8040,,,base.ch,base.main_company,,contact,installation@baumann-koelliker.ch,TRUE,www.baumannkoelliker.ch,de_DE,+41 44 497 37 95,,+41 44 497 37 37,10063,true,Europe/Zurich,true,3000,,TRUE,__setup__.accountpaymentterm_30dn,1100,2000,stock.stock_location_suppliers,"__setup__.partner_category_17,__setup__.partner_category_30,__setup__.partner_category_6",,FALSE,0,FALSE,__setup__.region_-2144060003,,,,,,,1,,Baumann Koelliker AG,,,
partner_10065,no-message,,Metzgergasse 2,false,Bremgarten AG,dla,5620,,,base.ch,base.main_company,,contact,info@fuxag.ch,TRUE,,de_DE,+41 56 6336668,,+41 56 6336667,10065,true,Europe/Zurich,true,3000,,TRUE,__setup__.accountpaymentterm_eev,1100,2000,stock.stock_location_suppliers,__setup__.partner_category_6,,TRUE,5622,FALSE,__setup__.region_-2144060050,,,,,,1,1,,Elektro Fux AG,,,
partner_10067,no-message,,Kappelenring 69,false,Hinterkappelen,mle,3032,,,base.ch,base.main_company,,contact,gfeller@gfeller.ch,TRUE,www.gfeller.ch,de_DE,+41 31 998 55 69,,+41 31 998 55 66,10067,true,Europe/Zurich,true,3000,,TRUE,__setup__.accountpaymentterm_eev,1100,2000,stock.stock_location_suppliers,__setup__.partner_category_6,,TRUE,3028,FALSE,__setup__.region_-2144060013,,,,,,1,1,,Gfeller Elektro AG,,,
partner_10071,no-message,,Wiesenstrasse 26,false,Aarau,mle,5000,,,base.ch,base.main_company,,contact,aarau@hhm.ch,TRUE,,de_DE,+41 62 837 87 97,,+41 62 837 87 87,10071,true,Europe/Zurich,true,0,,TRUE,__setup__.accountpaymentterm_30dn,1100,2000,stock.stock_location_suppliers,__setup__.partner_category_10,,FALSE,0,FALSE,__setup__.region_-2144060050,,5001,,,,1,0,,HEFTI. HESS. MARTIGNONI. Aarau AG,,,
partner_10074,no-message,,Telecom,false,Engelburg,mka,9032,,,base.ch,base.main_company,,contact,,TRUE,,de_DE,+41 71 2771113,Tannenbergstrasse 5,+41 71 2771111,10074,true,Europe/Zurich,true,3000,,TRUE,__setup__.accountpaymentterm_eev,1100,2000,stock.stock_location_suppliers,__setup__.partner_category_6,,TRUE,9697,FALSE,__setup__.region_-2142967379,,,,,,,0,,HPH Hardegger AG,,,
partner_10075,no-message,,Liebensteinstrasse 6,false,Zürich,dla,8047,,,base.ch,base.main_company,,contact,info@elektrogrob.ch,TRUE,,de_DE,+41 44 4062829,,+41 44 4062828,10075,true,Europe/Zurich,true,3000,,TRUE,__setup__.accountpaymentterm_eev,1100,2000,stock.stock_location_suppliers,__setup__.partner_category_6,,TRUE,8387,FALSE,__setup__.region_-2144060003,,,,,,,0,,Grob & Co Elektro AG,,,
partner_10077,no-message,,Schlossstrasse 124,false,Bern,mle,3008,,,base.ch,base.main_company,,contact,info@elektro-zenger.ch,TRUE,http://www.elektro-zenger.ch,de_DE,+41 31 3811105,,+41 31 3812260,10077,true,Europe/Zurich,true,3000,,TRUE,__setup__.accountpaymentterm_eev,1100,2000,stock.stock_location_suppliers,__setup__.partner_category_6,,TRUE,3022,FALSE,__setup__.region_-2144060013,,,,,,1,0,,Otto Zenger AG,,,
partner_10079,no-message,,Rte des Emonets 1,false,St-Maurice,mse,1890,,,base.ch,base.main_company,,contact,amon@bluewin.ch,TRUE,,fr_FR,+41 24 485 33 66,,+41 24 485 17 79,10079,true,Europe/Zurich,true,3000,,TRUE,__setup__.accountpaymentterm_eev,1100,2000,stock.stock_location_suppliers,__setup__.partner_category_6,,TRUE,1890,FALSE,__setup__.region_-2144060001,,,,,,0,0,,Monnay Electricité SA,,,
partner_10083,no-message,,Industriestrasse 9,false,Stäfa,mle,8712,,,base.ch,base.main_company,,contact,staefa@bernauer.ch,TRUE,www.bernauer.ch,de_DE,+41 44 928 12 01,,+41 44 928 12 12,10083,true,Europe/Zurich,true,3000,,TRUE,__setup__.accountpaymentterm_30dn,1100,2000,stock.stock_location_suppliers,"__setup__.partner_category_30,__setup__.partner_category_6",,FALSE,0,FALSE,__setup__.region_-2144060016,,,,,,1,1,,Bernauer AG,,,
partner_10088,no-message,,Romanshornerstrasse 2,false,Kreuzlingen,mka,8280,,,base.ch,base.main_company,,contact,info@arber.ch,TRUE,www.arber.ch,de_DE,+41 71 686 80 58,,+41 71 686 80 50,10088,true,Europe/Zurich,true,3000,,TRUE,__setup__.accountpaymentterm_60dn30d3s,1100,2000,stock.stock_location_suppliers,"__setup__.partner_category_19,__setup__.partner_category_6",,FALSE,0,FALSE,__setup__.region_-2142967384,,8280,,headquarter,,1,1,,Elektro Arber AG,,,
partner_10094,no-message,,Dorfstrasse 37,false,Würenlos,mle,5436,,,base.ch,base.main_company,,contact,info@moeckel-guenter.ch,TRUE,www.moeckel-guenter.ch,de_DE,+41 56 436 80 01,,+41 56 436 80 00,10094,true,Europe/Zurich,true,3000,,TRUE,__setup__.accountpaymentterm_eev,1100,2000,stock.stock_location_suppliers,__setup__.partner_category_6,,TRUE,5436,FALSE,__setup__.region_-2144060050,,,,,,1,0,,Möckel + Günter Elektro AG,,,
partner_10102,no-message,,Elektro - Telecom,false,Uster,mle,8610,,,base.ch,base.main_company,,contact,info@kellenberger-huber.ch,TRUE,www.kellenberger-huber.ch,de_DE,+41 44 943 70 07,Strickstrasse 3,+41 44 943 70 00,10102,true,Europe/Zurich,true,3000,,TRUE,__setup__.accountpaymentterm_eev,1100,2000,stock.stock_location_suppliers,__setup__.partner_category_6,,TRUE,4630,FALSE,__setup__.region_-2144060038,1113,8610,Uster,,,,0,,Kellenberger + Huber AG,,,
partner_10104,no-message,,Burgstrasse 28,false,Attinghausen,dla,6468,,,base.ch,base.main_company,,contact,uri@schibli.com,TRUE,www.schibli.com,de_DE,+41 41 872 03 05,,+41 41 872 03 03,10104,true,Europe/Zurich,true,3000,,TRUE,__setup__.accountpaymentterm_30dn,1100,2000,stock.stock_location_suppliers,"__setup__.partner_category_26,__setup__.partner_category_6",,FALSE,0,FALSE,__setup__.region_-2142967387,,6468,Attinghausen,,,,0,,Schibli Elektrotechnik AG,,,
partner_10107,no-message,,Riedstrasse 11,false,Cham,dla,6330,,,base.ch,base.main_company,,contact,,TRUE,,de_DE,+41 41 7484050,,+41 41 7484040,10107,true,Europe/Zurich,true,3000,,TRUE,__setup__.accountpaymentterm_30dn,1100,2000,stock.stock_location_suppliers,__setup__.partner_category_6,,FALSE,0,FALSE,__setup__.region_-2144060039,5345,6330,,,,,1,,Speri + Bütler AG,,,
partner_10108,warning,"
Geh\'f6rt der Etavis-Gruppe

Auftragsrabatte: 20 % +
ab Fr. \tab 2'000\tab 1 %
ab Fr. \tab 5'000 \tab 2 %
ab Fr. \tab 10'000 \tab 3 %
ab Fr. \tab 20'000 \tab 4 %
ab Fr. \tab 30'000\tab 5 %
ab Fr. \tab 40'000\tab 6 %
ab Fr. \tab 50'000\tab 7 %\lang1031




",Oststrasse 25,false,St. Gallen,mka,9000,,,base.ch,base.main_company,,contact,st.gallen@etavis.ch,TRUE,,de_DE,+41 71 243 62 37,,+41 71 243 66 44,10108,true,Europe/Zurich,true,3000,,TRUE,__setup__.accountpaymentterm_60dn45d3s,1100,2000,stock.stock_location_suppliers,"__setup__.partner_category_10,__setup__.partner_category_15,__setup__.partner_category_30,__setup__.partner_category_6",,FALSE,0,FALSE,__setup__.region_-2142967379,253,9006,,,,0,0,,ETAVIS Grossenbacher AG,,,
partner_10115,no-message,,Gewerbestrasse 1,false,Winterthur,mle,8404,,,base.ch,base.main_company,,contact,,TRUE,,de_DE,+41 52 245 16 40,,+41 52 245 16 45,10115,true,Europe/Zurich,true,3000,,TRUE,__setup__.accountpaymentterm_30dn,1100,2000,stock.stock_location_suppliers,"__setup__.partner_category_30,__setup__.partner_category_6",,FALSE,0,FALSE,__setup__.region_-2144059995,,,,,,,1,,swisspro AG,,,
partner_10117,warning,"
Alle Direktbestellungen durch Atel-Filialen m\'fcssen nach R\'fccksprache mit einem Grossisten derer Wahl abgewickelt werden. Gem. Vereinbarung zwischen PGL und Hrn. Baumann, Atel St. Gallen vom 06.05.04




",Kornstrasse 7,false,Buchs SG,mka,9470,,,base.ch,base.main_company,,contact,info.buchs@alpiq.com,TRUE,www.alpiq-intec.ch,de_DE,+41 81 7500355,,+41 81 7500350,10117,true,Europe/Zurich,true,3000,,TRUE,__setup__.accountpaymentterm_30dn,1100,2000,stock.stock_location_suppliers,"__setup__.partner_category_16,__setup__.partner_category_6",,FALSE,0,FALSE,__setup__.region_-2142967386,,,,,,,1,,Alpiq InTec Ost AG,,,
partner_10120,no-message,,Untere Stallstrasse 8,false,Thusis,mka,7430,,,base.ch,base.main_company,,contact,info@elektrobanzer.ch,TRUE,www.elektrobanzer.ch,de_DE,+41 81 6321015,,+41 81 6321010,10120,true,Europe/Zurich,true,3000,,TRUE,__setup__.accountpaymentterm_eev,1100,2000,stock.stock_location_suppliers,__setup__.partner_category_6,,TRUE,7001,FALSE,__setup__.region_-2144060040,162,7430,Thusis,,,,0,,Elektro Banzer AG,,,
partner_10121,no-message,,Installations électriques,false,Porrentruy,mse,2900,,,base.ch,base.main_company,,contact,installation@f-haenni.ch,TRUE,www.f-haenni.ch,fr_FR,+41 32 466 44 93,Rue du Temple 3,+41 32 466 14 55,10121,true,Europe/Zurich,true,3000,,TRUE,__setup__.accountpaymentterm_eev,1100,2000,stock.stock_location_suppliers,__setup__.partner_category_6,,TRUE,2901,FALSE,__setup__.region_-2144059996,,,,,,1,0,,Frédéric Hänni S.A,,,
partner_10124,no-message,,Tödistrasse 4,false,Tuggen,dla,8856,,,base.ch,base.main_company,,contact,,TRUE,www.tulux.ch,de_DE,+41 55 465 60 32,,+41 55 465 60 00,10124,true,Europe/Zurich,true,3000,,TRUE,__setup__.accountpaymentterm_30dn10d3s,1100,2000,stock.stock_location_suppliers,__setup__.partner_category_8,,FALSE,0,FALSE,__setup__.region_-2144060006,,,,,,,1,,Tulux AG,,,
partner_10127,no-message,,Am Schrägen Weg 9,false,Vaduz,mka,9490,,,base.ch,base.main_company,,contact,info@ospeltelektro.com,TRUE,,de_DE,,,+423 2361870,10127,true,Europe/Zurich,true,3000,,TRUE,__setup__.accountpaymentterm_30dn,1100,2000,stock.stock_location_suppliers,__setup__.partner_category_6,,FALSE,0,FALSE,__setup__.region_-2142967386,1521,9490,,,,1,0,,Ospelt Elektro-Telekom AG,,,
partner_10128,no-message,,Elektrische Anlagen,false,Gipf-Oberfrick,mle,5073,,,base.ch,base.main_company,,contact,info@rickenbach-elektro.ch,TRUE,,de_DE,+41 62 8656079,Landstrasse 31,+41 62 8656070,10128,true,Europe/Zurich,true,3000,,TRUE,__setup__.accountpaymentterm_eev,1100,2000,stock.stock_location_suppliers,__setup__.partner_category_6,,TRUE,5048,FALSE,__setup__.region_-2144060050,,,,,,1,0,,Alois Rickenbach AG,,,
partner_10133,warning,"Geh\'f6rt der Etavis-Gruppe

Auftragsrabatte: 20 % +
ab Fr. \tab 2'000\tab 1 %
ab Fr. \tab 5'000 \tab 2 %
ab Fr. \tab 10'000 \tab 3 %
ab Fr. \tab 20'000 \tab 4 %
ab Fr. \tab 30'000\tab 5 %
ab Fr. \tab 40'000\tab 6 %
ab Fr. \tab 50'000\tab 7 %\lang1031




",Kehlstrasse 61b,false,Baden,mle,5401,,,base.ch,base.main_company,,contact,Baden@etavis.ch,TRUE,,de_DE,+41 56 466 66 60,,+41 56 200 92 00,10133,true,Europe/Zurich,true,3000,+41 58 5852233,TRUE,__setup__.accountpaymentterm_60dn45d3s,1100,2000,stock.stock_location_suppliers,"__setup__.partner_category_15,__setup__.partner_category_30,__setup__.partner_category_6",,FALSE,0,FALSE,__setup__.region_-2144060050,,,,,,1,0,,ETAVIS AG,,,
partner_10134,no-message,,Hauptstrasse 29,false,Oberdorf BL,mle,4436,,,base.ch,base.main_company,,contact,info@elektropeyer.ch,TRUE,www.elektropeyer.ch,de_DE,+41 61 9659655,,+41 61 9659650,10134,true,Europe/Zurich,true,3000,,TRUE,__setup__.accountpaymentterm_eev,1100,2000,stock.stock_location_suppliers,__setup__.partner_category_6,,TRUE,4436,FALSE,__setup__.region_-2144060030,,,,,,1,0,,Elektro Peyer AG,,,
partner_10139,no-message,,Lauenenstrasse 48,false,Gstaad,mle,3780,,,base.ch,base.main_company,,contact,isp-gstaad@ispag.ch,TRUE,www.ispag.ch,de_DE,+41 33 7484850,,+41 33 7484848,10139,true,Europe/Zurich,true,3000,,TRUE,__setup__.accountpaymentterm_eev,1100,2000,stock.stock_location_suppliers,"__setup__.partner_category_18,__setup__.partner_category_6",,TRUE,3276,FALSE,__setup__.region_-2144060046,,,,,,1,0,,BKW ISP AG,,,
